Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/topologies.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/topologies.eda.nokia.com/v1alpha1,GET,ResourceList,resource_list,true,true,false
/apps/topologies.eda.nokia.com/v1alpha1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/deviationoverlays,DELETE,com.nokia.eda.topologies.v1alpha1.DeviationOverlayList,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/deviationoverlays,GET,com.nokia.eda.topologies.v1alpha1.DeviationOverlayList,deviation_overlay_list,true,true,false
/apps/topologies.eda.nokia.com/v1alpha1/deviationoverlays,POST,com.nokia.eda.topologies.v1alpha1.DeviationOverlay,deviation_overlay,true,false,true
/apps/topologies.eda.nokia.com/v1alpha1/deviationoverlays/_deleted,GET,com.nokia.eda.topologies.v1alpha1.DeviationOverlay_DeletedResources,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/deviationoverlays/{name},DELETE,Status,deviation_overlay,true,false,true
/apps/topologies.eda.nokia.com/v1alpha1/deviationoverlays/{name},GET,com.nokia.eda.topologies.v1alpha1.DeviationOverlay,deviation_overlay,true,true,true
/apps/topologies.eda.nokia.com/v1alpha1/deviationoverlays/{name},PATCH,Patch,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/deviationoverlays/{name},PUT,com.nokia.eda.topologies.v1alpha1.DeviationOverlay,deviation_overlay,true,false,true
/apps/topologies.eda.nokia.com/v1alpha1/deviationoverlays/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/deviationoverlays/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/lldpoverlays,DELETE,com.nokia.eda.topologies.v1alpha1.LldpOverlayList,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/lldpoverlays,GET,com.nokia.eda.topologies.v1alpha1.LldpOverlayList,lldp_overlay_list,true,true,false
/apps/topologies.eda.nokia.com/v1alpha1/lldpoverlays,POST,com.nokia.eda.topologies.v1alpha1.LldpOverlay,lldp_overlay,true,false,true
/apps/topologies.eda.nokia.com/v1alpha1/lldpoverlays/_deleted,GET,com.nokia.eda.topologies.v1alpha1.LldpOverlay_DeletedResources,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/lldpoverlays/{name},DELETE,Status,lldp_overlay,true,false,true
/apps/topologies.eda.nokia.com/v1alpha1/lldpoverlays/{name},GET,com.nokia.eda.topologies.v1alpha1.LldpOverlay,lldp_overlay,true,true,true
/apps/topologies.eda.nokia.com/v1alpha1/lldpoverlays/{name},PATCH,Patch,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/lldpoverlays/{name},PUT,com.nokia.eda.topologies.v1alpha1.LldpOverlay,lldp_overlay,true,false,true
/apps/topologies.eda.nokia.com/v1alpha1/lldpoverlays/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/lldpoverlays/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/topologies,DELETE,com.nokia.eda.topologies.v1alpha1.TopologyList,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/topologies,GET,com.nokia.eda.topologies.v1alpha1.TopologyList,topology_list,true,true,false
/apps/topologies.eda.nokia.com/v1alpha1/topologies,POST,com.nokia.eda.topologies.v1alpha1.Topology,topology,true,false,true
/apps/topologies.eda.nokia.com/v1alpha1/topologies/_deleted,GET,com.nokia.eda.topologies.v1alpha1.Topology_DeletedResources,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/topologies/{name},DELETE,Status,topology,true,false,true
/apps/topologies.eda.nokia.com/v1alpha1/topologies/{name},GET,com.nokia.eda.topologies.v1alpha1.Topology,topology,true,true,true
/apps/topologies.eda.nokia.com/v1alpha1/topologies/{name},PATCH,Patch,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/topologies/{name},PUT,com.nokia.eda.topologies.v1alpha1.Topology,topology,true,false,true
/apps/topologies.eda.nokia.com/v1alpha1/topologies/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/topologies/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/topologygroupings,DELETE,com.nokia.eda.topologies.v1alpha1.TopologyGroupingList,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/topologygroupings,GET,com.nokia.eda.topologies.v1alpha1.TopologyGroupingList,topology_grouping_list,true,true,false
/apps/topologies.eda.nokia.com/v1alpha1/topologygroupings,POST,com.nokia.eda.topologies.v1alpha1.TopologyGrouping,topology_grouping,true,false,true
/apps/topologies.eda.nokia.com/v1alpha1/topologygroupings/_deleted,GET,com.nokia.eda.topologies.v1alpha1.TopologyGrouping_DeletedResources,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/topologygroupings/{name},DELETE,Status,topology_grouping,true,false,true
/apps/topologies.eda.nokia.com/v1alpha1/topologygroupings/{name},GET,com.nokia.eda.topologies.v1alpha1.TopologyGrouping,topology_grouping,true,true,true
/apps/topologies.eda.nokia.com/v1alpha1/topologygroupings/{name},PATCH,Patch,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/topologygroupings/{name},PUT,com.nokia.eda.topologies.v1alpha1.TopologyGrouping,topology_grouping,true,false,true
/apps/topologies.eda.nokia.com/v1alpha1/topologygroupings/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/topologygroupings/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/trafficrateoverlays,DELETE,com.nokia.eda.topologies.v1alpha1.TrafficRateOverlayList,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/trafficrateoverlays,GET,com.nokia.eda.topologies.v1alpha1.TrafficRateOverlayList,traffic_rate_overlay_list,true,true,false
/apps/topologies.eda.nokia.com/v1alpha1/trafficrateoverlays,POST,com.nokia.eda.topologies.v1alpha1.TrafficRateOverlay,traffic_rate_overlay,true,false,true
/apps/topologies.eda.nokia.com/v1alpha1/trafficrateoverlays/_deleted,GET,com.nokia.eda.topologies.v1alpha1.TrafficRateOverlay_DeletedResources,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/trafficrateoverlays/{name},DELETE,Status,traffic_rate_overlay,true,false,true
/apps/topologies.eda.nokia.com/v1alpha1/trafficrateoverlays/{name},GET,com.nokia.eda.topologies.v1alpha1.TrafficRateOverlay,traffic_rate_overlay,true,true,true
/apps/topologies.eda.nokia.com/v1alpha1/trafficrateoverlays/{name},PATCH,Patch,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/trafficrateoverlays/{name},PUT,com.nokia.eda.topologies.v1alpha1.TrafficRateOverlay,traffic_rate_overlay,true,false,true
/apps/topologies.eda.nokia.com/v1alpha1/trafficrateoverlays/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/topologies.eda.nokia.com/v1alpha1/trafficrateoverlays/{name}/_topology,GET,ResourceTopology,,false,false,false
